T->N%, TraceRecall_T,  TraceRecall_NT,
70,,40,[60-80[
78,11,39,[60-80[
79,16,35,[60-80[
78,11,39,[60-80[
67,8,38,[60-80[
67,33,38,[60-80[
76,9,37,[60-80[
60,,40,[60-80[
75,8,38,[60-80[
100,,36,[80-100]
100,,39,[80-100]
95,,37,[80-100]
88,2,36,[80-100]
100,,38,[80-100]
100,,39,[80-100]
83,,38,[80-100]
100,,36,[80-100]
100,,39,[80-100]
100,,38,[80-100]
100,,39,[80-100]
86,14,37,[80-100]
80,2,37,[80-100]
85,7,34,[80-100]
100,,36,[80-100]
100,,39,[80-100]
100,,38,[80-100]
100,,39,[80-100]
100,,36,[80-100]
100,,39,[80-100]
100,,38,[80-100]
100,,39,[80-100]
83,8,38,[80-100]
98,,34,[80-100]
100,,36,[80-100]
100,,39,[80-100]
86,,35,[80-100]
100,,38,[80-100]
100,,39,[80-100]
98,,38,[80-100]
80,10,40,[80-100]
100,,36,[80-100]
100,,39,[80-100]
93,,32,[80-100]
100,,38,[80-100]
100,,39,[80-100]
81,,37,[80-100]
89,,39,[80-100]
98,,34,[80-100]
80,2,33,[80-100]
100,,36,[80-100]
100,,39,[80-100]
90,2,36,[80-100]
100,,38,[80-100]
100,,39,[80-100]
94,,38,[80-100]
97,,34,[80-100]
100,,36,[80-100]
100,,39,[80-100]
100,,38,[80-100]
100,,39,[80-100]
83,,38,[80-100]
88,1,36,[80-100]
100,,36,[80-100]
100,,39,[80-100]
85,3,34,[80-100]
100,,38,[80-100]
100,,39,[80-100]
82,9,37,[80-100]
80,10,40,[80-100]
100,,36,[80-100]
100,,39,[80-100]
90,,36,[80-100]
100,,38,[80-100]
100,,39,[80-100]
10,52,36,]0-20[
6,22,37,]0-20[
17,31,32,]0-20[
10,10,34,]0-20[
11,44,39,]0-20[
7,45,33,]0-20[
13,22,37,]0-20[
8,8,38,]0-20[
10,10,34,]0-20[
7,47,37,]0-20[
19,32,31,]0-20[
10,20,39,]0-20[
5,43,33,]0-20[
9,30,31,]0-20[
10,52,36,]0-20[
3,25,37,]0-20[
3,46,33,]0-20[
5,32,31,]0-20[
0,46,33,0
0,43,32,0
0,,36,0
0,,39,0
0,37,31,0
0,15,33,0
0,32,31,0
0,45,33,0
0,33,38,0
0,,38,0
0,,39,0
0,57,36,0
0,29,37,0
0,52,37,0
0,,39,0
0,,37,0
0,20,39,0
0,8,38,0
0,44,39,0
0,,39,0
0,,40,0
38,0,47,[20-40[
25,,34,[20-40[
