 T->U%, TracePrecision_T, TracePrecision_NT,percentage 
100,,100,[80-100]
100,,100,[80-100]
73,77,97,[60-80[
10,33,96,]0-20[
5,93,97,]0-20[
17,85,98,]0-20[
33,100,100,[20-40[
100,,100,[80-100]
100,,99,[80-100]
29,66,100,[20-40[
19,66,100,]0-20[
91,80,98,[80-100]
90,,100,[80-100]
8,100,100,]0-20[
89,,99,[80-100]
42,95,98,[40-60[
17,87,98,]0-20[
100,,100,[80-100]
100,,100,[80-100]
53,72,97,[40-60[
85,,95,[80-100]
35,92,97,[20-40[
76,100,97,[60-80[
33,100,100,[20-40[
100,,100,[80-100]
100,,99,[80-100]
5,70,100,]0-20[
84,33,98,[80-100]
27,86,99,[20-40[
60,,100,[60-80[
17,100,100,]0-20[
22,50,99,[20-40[
22,92,98,[20-40[
17,78,98,]0-20[
100,,100,[80-100]
100,,100,[80-100]
61,84,97,[60-80[
50,33,96,[40-60[
63,100,96,[60-80[
36,86,98,[20-40[
33,,100,[20-40[
100,,100,[80-100]
100,,99,[80-100]
90,33,100,[80-100]
3,64,100,]0-20[
34,81,99,[20-40[
10,100,100,]0-20[
42,100,100,[40-60[
22,66,99,[20-40[
35,100,98,[20-40[
88,100,98,[80-100]
100,,100,[80-100]
100,,100,[80-100]
32,73,97,[20-40[
35,42,96,[20-40[
28,100,97,[20-40[
2,82,98,]0-20[
33,100,100,[20-40[
100,,100,[80-100]
100,,99,[80-100]
95,,100,[80-100]
52,66,99,[40-60[
61,73,99,[60-80[
10,100,100,]0-20[
75,,100,[60-80[
44,100,99,[40-60[
38,95,98,[20-40[
24,85,98,[20-40[
100,,100,[80-100]
100,,100,[80-100]
97,,95,[80-100]
95,,95,[80-100]
19,90,97,]0-20[
64,87,98,[60-80[
67,,100,[60-80[
100,,100,[80-100]
100,,99,[80-100]
90,100,100,[80-100]
16,61,100,]0-20[
30,82,99,[20-40[
50,,100,[40-60[
92,,100,[80-100]
44,50,99,[40-60[
69,90,98,[60-80[
75,91,98,[60-80[
100,,100,[80-100]
100,,100,[80-100]
36,78,97,[20-40[
45,33,96,[40-60[
33,92,97,[20-40[
95,100,96,[80-100]
33,100,100,[20-40[
100,,100,[80-100]
100,,99,[80-100]
81,100,100,[80-100]
42,75,99,[40-60[
16,80,100,]0-20[
30,,100,[20-40[
92,,100,[80-100]
22,100,99,[20-40[
5,93,98,]0-20[
72,87,98,[60-80[
100,,100,[80-100]
100,,100,[80-100]
86,71,96,[80-100]
75,50,95,[60-80[
37,92,97,[20-40[
45,84,98,[40-60[
67,100,100,[60-80[
100,,100,[80-100]
100,,99,[80-100]
33,100,100,[20-40[
97,,98,[80-100]
9,77,100,]0-20[
50,100,100,[40-60[
75,,100,[60-80[
89,,99,[80-100]
62,92,98,[60-80[
70,92,98,[60-80[
100,,100,[80-100]
100,,100,[80-100]
59,76,97,[40-60[
45,50,96,[40-60[
7,93,97,]0-20[
48,92,98,[40-60[
67,100,100,[60-80[
100,,100,[80-100]
100,,99,[80-100]
5,80,100,]0-20[
94,33,98,[80-100]
20,84,99,[20-40[
70,,100,[60-80[
8,100,100,]0-20[
22,100,99,[20-40[
0,93,98,0
0,80,98,0
0,,100,0
0,,100,0
0,75,97,0
0,42,96,0
0,93,97,0
0,82,98,0
0,100,100,0
0,,100,0
0,,99,0
0,70,100,0
0,64,100,0
0,79,100,0
0,,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,66,99,0
0,,100,0
0,,100,0
63,0,96,[60-80[
60,,100,[60-80[
25,,97,[20-40[
100,,100,[80-100]
75,,100,[60-80[
100,,100,[80-100]
50,,91,[40-60[
50,,97,[40-60[
32,80,85,[20-40[
38,33,96,[20-40[
75,,90,[60-80[
88,,93,[80-100]
20,,100,[20-40[
25,,96,[20-40[
100,,100,[80-100]
75,,100,[60-80[
100,,100,[80-100]
50,,91,[40-60[
50,,97,[40-60[
68,50,85,[60-80[
54,100,93,[40-60[
80,,90,[80-100]
25,0,93,[20-40[
40,,100,[40-60[
75,,97,[60-80[
100,,100,[80-100]
50,,100,[40-60[
100,,100,[80-100]
25,,89,[20-40[
50,,97,[40-60[
61,100,80,[60-80[
8,60,96,]0-20[
65,100,90,[60-80[
25,,96,[20-40[
80,,100,[80-100]
50,,96,[40-60[
100,,100,[80-100]
50,,100,[40-60[
100,,100,[80-100]
25,,89,[20-40[
50,,96,[40-60[
63,,81,[60-80[
46,50,93,[40-60[
35,100,89,[20-40[
50,,96,[40-60[
60,,100,[60-80[
75,,96,[60-80[
100,,100,[80-100]
50,,100,[40-60[
100,,100,[80-100]
50,,89,[40-60[
50,,97,[40-60[
5,85,85,]0-20[
23,66,93,[20-40[
50,,90,[40-60[
38,,96,[20-40[
60,,100,[60-80[
25,,96,[20-40[
100,,100,[80-100]
50,,100,[40-60[
100,,100,[80-100]
50,,89,[40-60[
50,,96,[40-60[
37,71,85,[20-40[
77,100,93,[60-80[
80,,90,[80-100]
75,,93,[60-80[
60,,100,[60-80[
25,,96,[20-40[
100,,100,[80-100]
50,,100,[40-60[
100,,100,[80-100]
25,,89,[20-40[
50,,97,[40-60[
49,100,81,[40-60[
8,75,96,]0-20[
75,,90,[60-80[
88,,93,[80-100]
60,,100,[60-80[
75,,97,[60-80[
100,,100,[80-100]
75,,100,[60-80[
100,,100,[80-100]
25,,91,[20-40[
50,,97,[40-60[
90,50,75,[80-100]
23,66,93,[20-40[
95,,90,[80-100]
25,0,96,[20-40[
60,,100,[60-80[
75,,97,[60-80[
100,,100,[80-100]
75,,100,[60-80[
100,,100,[80-100]
25,,91,[20-40[
50,,96,[40-60[
17,85,85,]0-20[
77,,93,[60-80[
55,,90,[40-60[
38,,96,[20-40[
80,,100,[80-100]
25,,96,[20-40[
100,,100,[80-100]
25,,100,[20-40[
100,,100,[80-100]
50,,91,[40-60[
50,,97,[40-60[
80,100,81,[80-100]
92,,93,[80-100]
75,100,90,[60-80[
0,0,96,0
0,,100,0
0,,100,0
0,,96,0
0,,100,0
0,,100,0
0,,100,0
0,,89,0
0,,96,0
0,85,85,0
0,60,96,0
0,,100,0
0,,100,0
0,100,89,0
