 N->T%, TracePrecision_T, TracePrecision_NT,INTERVAL 
86,2,100,[80-100]
48,0,96,[40-60[
93,9,100,[80-100]
91,4,100,[80-100]
11,33,100,]0-20[
38,4,100,[20-40[
36,12,100,[20-40[
5,40,100,]0-20[
30,18,100,[20-40[
59,16,100,[40-60[
74,12,100,[60-80[
47,5,100,[40-60[
57,12,100,[40-60[
54,1,100,[40-60[
14,6,100,]0-20[
88,6,80,[80-100]
8,11,100,]0-20[
69,0,100,[60-80[
82,3,100,[80-100]
51,19,100,[40-60[
19,27,100,]0-20[
98,3,,[80-100]
94,4,100,[80-100]
67,6,100,[60-80[
73,10,100,[60-80[
72,5,90,[60-80[
74,1,100,[60-80[
93,2,100,[80-100]
7,27,100,]0-20[
48,0,100,[40-60[
44,2,100,[40-60[
42,6,100,[40-60[
98,4,100,[80-100]
58,2,94,[40-60[
38,3,100,[20-40[
10,0,97,]0-20[
77,12,100,[60-80[
17,36,100,]0-20[
53,10,100,[40-60[
75,2,100,[60-80[
53,10,100,[40-60[
38,14,100,[20-40[
30,14,100,[20-40[
18,41,100,]0-20[
53,14,100,[40-60[
92,2,100,[80-100]
86,8,100,[80-100]
13,10,100,]0-20[
71,5,100,[60-80[
31,8,96,[20-40[
43,4,100,[40-60[
35,0,100,[20-40[
65,5,100,[60-80[
67,13,100,[60-80[
29,11,100,[20-40[
99,3,,[80-100]
2,80,100,]0-20[
34,12,100,[20-40[
88,6,100,[80-100]
28,20,100,[20-40[
35,4,100,[20-40[
65,3,100,[60-80[
36,13,100,[20-40[
60,0,100,[60-80[
39,0,100,[20-40[
37,6,100,[20-40[
52,8,100,[40-60[
50,2,95,[40-60[
82,1,100,[80-100]
15,0,97,]0-20[
50,16,100,[40-60[
85,4,100,[80-100]
3,71,100,]0-20[
62,1,100,[60-80[
13,15,100,]0-20[
22,20,100,[20-40[
38,18,100,[20-40[
3,77,100,]0-20[
29,24,100,[20-40[
15,18,100,]0-20[
72,10,100,[60-80[
68,1,100,[60-80[
77,3,91,[60-80[
84,6,100,[80-100]
48,4,100,[40-60[
23,0,100,[20-40[
80,5,100,[80-100]
63,15,100,[60-80[
8,37,100,]0-20[
49,7,100,[40-60[
47,8,100,[40-60[
67,5,100,[60-80[
84,7,80,[80-100]
6,18,96,]0-20[
6,20,100,]0-20[
67,3,100,[60-80[
81,6,100,[80-100]
24,0,100,[20-40[
80,1,100,[80-100]
42,5,100,[40-60[
58,7,100,[40-60[
48,2,95,[40-60[
94,1,100,[80-100]
95,4,100,[80-100]
19,39,100,]0-20[
19,22,100,]0-20[
60,10,100,[60-80[
92,2,100,[80-100]
80,4,100,[80-100]
73,7,100,[60-80[
84,7,100,[80-100]
82,10,100,[80-100]
59,13,100,[40-60[
97,2,100,[80-100]
49,16,100,[40-60[
24,5,100,[20-40[
37,8,95,[20-40[
41,9,96,[40-60[
21,13,100,[20-40[
28,0,100,[20-40[
26,13,100,[20-40[
75,12,100,[60-80[
82,5,100,[80-100]
6,80,100,]0-20[
7,30,100,]0-20[
10,20,100,]0-20[
90,7,100,[80-100]
88,14,100,[80-100]
78,1,100,[60-80[
47,4,100,[40-60[
51,7,100,[40-60[
25,0,100,[20-40[
7,0,100,]0-20[
49,8,100,[40-60[
43,7,100,[40-60[
27,8,100,[20-40[
94,2,100,[80-100]
19,0,97,]0-20[
27,22,100,[20-40[
82,5,100,[80-100]
5,50,100,]0-20[
38,0,100,[20-40[
28,12,100,[20-40[
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,,96,0
0,50,100,0
0,,100,0
0,75,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,97,0
0,100,97,0
0,100,100,0
0,100,100,0
0,100,100,0
0,0,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,100,100,0
0,,98,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,100,0
0,100,100,0
59,23,100,[40-60[
87,17,100,[80-100]
23,0,100,[20-40[
82,0,100,[80-100]
79,13,88,[60-80[
51,2,100,[40-60[
74,10,100,[60-80[
32,18,97,[20-40[
14,3,100,]0-20[
75,0,100,[60-80[
98,0,100,[80-100]
29,13,100,[20-40[
81,4,100,[80-100]
6,53,100,]0-20[
96,,100,[80-100]
80,,100,[80-100]
17,3,100,]0-20[
37,1,100,[20-40[
74,2,100,[60-80[
5,,100,]0-20[
67,,100,[60-80[
59,25,100,[40-60[
20,49,100,[20-40[
18,0,100,]0-20[
80,0,100,[80-100]
74,15,95,[60-80[
2,25,98,]0-20[
12,34,97,]0-20[
22,24,99,[20-40[
76,0,100,[60-80[
74,0,100,[60-80[
56,0,100,[40-60[
66,6,100,[60-80[
74,5,100,[60-80[
23,23,100,[20-40[
17,,100,]0-20[
72,,100,[60-80[
72,0,100,[60-80[
51,1,100,[40-60[
9,17,99,]0-20[
82,,100,[80-100]
75,,100,[60-80[
20,46,98,[20-40[
25,40,97,[20-40[
37,0,100,[20-40[
67,0,100,[60-80[
13,39,97,]0-20[
96,4,100,[80-100]
33,17,97,[20-40[
38,19,98,[20-40[
41,1,100,[40-60[
60,0,100,[60-80[
75,0,100,[60-80[
49,9,100,[40-60[
9,25,100,]0-20[
98,8,100,[80-100]
43,,100,[40-60[
67,,100,[60-80[
70,1,100,[60-80[
16,2,100,]0-20[
61,3,100,[60-80[
50,,100,[40-60[
27,,100,[20-40[
50,29,100,[40-60[
33,38,98,[20-40[
67,0,100,[60-80[
5,0,100,]0-20[
45,20,97,[40-60[
12,17,97,]0-20[
24,30,98,[20-40[
40,19,97,[40-60[
38,1,100,[20-40[
20,0,100,[20-40[
24,0,99,[20-40[
43,10,100,[40-60[
53,7,100,[40-60[
39,20,100,[20-40[
43,,100,[40-60[
97,,,[80-100]
25,3,100,[20-40[
79,2,100,[60-80[
5,40,99,]0-20[
55,,100,[40-60[
3,,100,]0-20[
42,32,98,[40-60[
90,19,100,[80-100]
78,0,100,[60-80[
22,0,100,[20-40[
20,37,98,[20-40[
19,7,97,]0-20[
10,58,99,]0-20[
73,11,88,[60-80[
98,0,,[80-100]
30,0,100,[20-40[
15,0,100,]0-20[
86,5,100,[80-100]
5,33,100,]0-20[
80,9,100,[80-100]
41,,100,[40-60[
55,,100,[40-60[
83,0,100,[80-100]
94,0,100,[80-100]
100,1,,[80-100]
33,,100,[20-40[
76,,100,[60-80[
59,24,100,[40-60[
78,20,100,[60-80[
41,0,100,[40-60[
45,0,100,[40-60[
48,20,97,[40-60[
27,7,96,[20-40[
88,10,100,[80-100]
24,27,97,[20-40[
10,6,100,]0-20[
47,0,100,[40-60[
88,0,100,[80-100]
10,30,100,]0-20[
31,10,100,[20-40[
17,35,100,]0-20[
82,,100,[80-100]
76,,100,[60-80[
36,2,100,[20-40[
81,2,100,[80-100]
49,2,98,[40-60[
26,,100,[20-40[
26,,100,[20-40[
89,16,100,[80-100]
13,55,98,]0-20[
2,0,100,]0-20[
89,0,100,[80-100]
26,26,98,[20-40[
59,2,96,[40-60[
66,12,100,[60-80[
28,25,100,[20-40[
44,1,100,[40-60[
73,0,100,[60-80[
69,0,100,[60-80[
7,41,100,]0-20[
7,26,100,]0-20[
17,31,100,]0-20[
14,,100,]0-20[
36,,100,[20-40[
83,0,100,[80-100]
53,1,100,[40-60[
59,2,100,[40-60[
15,,100,]0-20[
42,,100,[40-60[
11,65,99,]0-20[
78,20,100,[60-80[
45,0,100,[40-60[
64,0,100,[60-80[
87,11,93,[80-100]
90,5,100,[80-100]
92,10,100,[80-100]
44,17,98,[40-60[
98,0,,[80-100]
78,0,100,[60-80[
39,1,100,[20-40[
8,30,100,]0-20[
42,9,100,[40-60[
68,12,100,[60-80[
31,,100,[20-40[
93,,100,[80-100]
55,1,100,[40-60[
88,1,100,[80-100]
38,4,100,[20-40[
51,,100,[40-60[
45,,100,[40-60[
12,55,98,]0-20[
4,66,98,]0-20[
24,0,100,[20-40[
59,0,100,[40-60[
43,24,98,[40-60[
86,3,100,[80-100]
19,31,97,]0-20[
97,7,100,[80-100]
66,0,100,[60-80[
11,0,100,]0-20[
7,0,99,]0-20[
13,29,100,]0-20[
51,6,100,[40-60[
84,9,100,[80-100]
78,,100,[60-80[
44,,100,[40-60[
43,1,100,[40-60[
27,2,100,[20-40[
59,2,97,[40-60[
31,,100,[20-40[
48,,100,[40-60[
31,40,98,[20-40[
47,30,100,[40-60[
16,0,100,]0-20[
8,0,100,]0-20[
45,22,100,[40-60[
31,4,98,[20-40[
67,14,100,[60-80[
29,25,97,[20-40[
21,1,100,[20-40[
94,0,100,[80-100]
46,0,100,[40-60[
54,8,100,[40-60[
66,5,100,[60-80[
99,8,100,[80-100]
26,,100,[20-40[
64,,100,[60-80[
45,1,100,[40-60[
53,1,100,[40-60[
20,8,100,[20-40[
14,,100,]0-20[
28,,100,[20-40[
0,93,98,0
0,80,98,0
0,,100,0
0,,100,0
0,75,97,0
0,42,96,0
0,93,97,0
0,82,98,0
0,100,100,0
0,,100,0
0,,99,0
0,70,100,0
0,64,100,0
0,79,100,0
0,,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,66,99,0
0,,100,0
0,,100,0
31,9,100,[20-40[
10,,100,]0-20[
27,0,100,[20-40[
16,0,96,]0-20[
18,,100,]0-20[
91,0,,[80-100]
39,0,100,[20-40[
63,5,85,[60-80[
74,5,100,[60-80[
97,63,,[80-100]
18,42,95,]0-20[
4,,100,]0-20[
33,,100,[20-40[
20,66,95,[20-40[
3,0,96,]0-20[
30,,100,[20-40[
37,0,100,[20-40[
36,0,100,[20-40[
70,0,100,[60-80[
45,0,100,[40-60[
76,0,100,[60-80[
74,5,83,[60-80[
59,7,100,[40-60[
38,78,85,[20-40[
84,15,50,[80-100]
95,,,[80-100]
78,,100,[60-80[
30,40,88,[20-40[
92,10,,[80-100]
59,,100,[40-60[
25,0,100,[20-40[
8,0,100,]0-20[
99,0,,[80-100]
26,0,100,[20-40[
9,0,100,]0-20[
41,11,94,[40-60[
37,14,100,[20-40[
49,79,80,[40-60[
84,13,0,[80-100]
8,,100,]0-20[
48,,100,[40-60[
95,18,,[80-100]
68,13,90,[60-80[
10,,100,]0-20[
49,0,100,[40-60[
24,0,100,[20-40[
38,0,100,[20-40[
8,,100,]0-20[
76,0,100,[60-80[
82,8,,[80-100]
92,2,,[80-100]
36,81,87,[20-40[
12,62,100,]0-20[
96,,,[80-100]
54,,100,[40-60[
17,11,81,]0-20[
82,3,,[80-100]
20,,100,[20-40[
7,0,100,]0-20[
32,0,100,[20-40[
49,0,100,[40-60[
37,0,100,[20-40[
85,0,100,[80-100]
12,14,95,]0-20[
69,5,100,[60-80[
44,74,80,[40-60[
60,26,100,[60-80[
50,,100,[40-60[
43,,100,[40-60[
78,20,100,[60-80[
75,16,100,[60-80[
90,,,[80-100]
48,0,100,[40-60[
38,0,100,[20-40[
91,0,,[80-100]
63,0,100,[60-80[
23,0,100,[20-40[
87,9,,[80-100]
32,0,95,[20-40[
5,85,85,]0-20[
9,50,96,]0-20[
21,,100,[20-40[
74,,100,[60-80[
85,15,83,[80-100]
38,7,100,[20-40[
35,,100,[20-40[
36,0,100,[20-40[
30,0,100,[20-40[
91,0,100,[80-100]
57,0,100,[40-60[
5,,100,]0-20[
7,0,91,]0-20[
78,5,100,[60-80[
44,61,83,[40-60[
15,27,92,]0-20[
60,,100,[60-80[
30,,100,[20-40[
30,66,88,[20-40[
86,9,100,[80-100]
89,,100,[80-100]
8,0,100,]0-20[
54,0,100,[40-60[
87,0,100,[80-100]
30,0,100,[20-40[
10,,100,]0-20[
43,5,100,[40-60[
3,0,95,]0-20[
41,81,83,[40-60[
48,28,100,[40-60[
96,,,[80-100]
68,,100,[60-80[
33,50,88,[20-40[
92,10,,[80-100]
23,,100,[20-40[
45,0,100,[40-60[
34,0,100,[20-40[
24,0,100,[20-40[
66,0,100,[60-80[
38,0,100,[20-40[
96,8,,[80-100]
26,20,100,[20-40[
90,67,,[80-100]
37,26,91,[20-40[
95,,100,[80-100]
94,,100,[80-100]
80,16,0,[80-100]
40,6,100,[40-60[
28,,100,[20-40[
13,,100,]0-20[
17,0,100,]0-20[
42,0,100,[40-60[
16,,100,]0-20[
49,0,100,[40-60[
3,,89,]0-20[
32,0,93,[20-40[
10,90,83,]0-20[
46,13,50,[40-60[
38,,100,[20-40[
79,,100,[60-80[
77,15,100,[60-80[
0,0,96,0
0,,100,0
0,,100,0
0,,96,0
0,,100,0
0,,100,0
0,,100,0
0,,89,0
0,,96,0
0,85,85,0
0,60,96,0
0,,100,0
0,,100,0
0,100,89,0
