 N->U%, TracePrecision_T, TracePrecision_NT,percentage 
94,100,100,[80-100]
15,100,100,]0-20[
22,100,100,[20-40[
46,80,96,[40-60[
16,,97,]0-20[
46,33,100,[40-60[
46,,100,[40-60[
46,60,100,[40-60[
58,100,100,[40-60[
52,100,100,[40-60[
16,100,100,]0-20[
14,100,100,]0-20[
53,60,100,[40-60[
70,83,100,[60-80[
60,100,100,[60-80[
91,100,100,[80-100]
27,100,100,[20-40[
20,75,100,[20-40[
12,0,100,]0-20[
26,,100,[20-40[
34,100,100,[20-40[
44,66,100,[40-60[
19,100,97,]0-20[
17,100,100,]0-20[
86,,100,[80-100]
16,100,100,]0-20[
39,100,100,[20-40[
82,100,100,[80-100]
21,,100,[20-40[
33,100,100,[20-40[
55,100,100,[40-60[
25,100,100,[20-40[
30,100,100,[20-40[
85,100,100,[80-100]
70,100,100,[60-80[
14,100,100,]0-20[
1,100,100,]0-20[
59,100,100,[40-60[
5,,95,]0-20[
99,33,,[80-100]
41,,100,[40-60[
85,50,100,[80-100]
97,100,100,[80-100]
99,100,,[80-100]
94,100,100,[80-100]
21,100,100,[20-40[
99,45,,[80-100]
90,50,100,[80-100]
13,100,100,]0-20[
24,100,100,[20-40[
53,100,100,[40-60[
30,100,100,[20-40[
28,0,100,[20-40[
5,,100,]0-20[
89,100,100,[80-100]
61,100,100,[60-80[
84,33,100,[80-100]
71,100,100,[60-80[
50,,100,[40-60[
65,77,100,[60-80[
45,100,100,[40-60[
2,100,100,]0-20[
97,,100,[80-100]
72,100,100,[60-80[
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,,96,0
0,50,100,0
0,,100,0
0,75,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,97,0
0,100,97,0
0,100,100,0
0,100,100,0
0,100,100,0
0,0,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,100,100,0
0,,98,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,100,0
0,100,100,0
28,90,99,[20-40[
18,80,99,]0-20[
78,0,100,[60-80[
80,,100,[80-100]
69,62,98,[60-80[
8,42,96,]0-20[
23,93,97,[20-40[
68,66,96,[60-80[
17,100,100,]0-20[
9,,100,]0-20[
77,,100,[60-80[
57,73,100,[40-60[
28,60,100,[20-40[
44,79,100,[40-60[
79,,100,[60-80[
82,,100,[80-100]
39,100,100,[20-40[
47,50,100,[40-60[
53,66,100,[40-60[
39,,100,[20-40[
62,,100,[60-80[
40,90,98,[40-60[
23,80,98,[20-40[
65,0,100,[60-80[
99,,100,[80-100]
59,72,100,[40-60[
16,42,96,]0-20[
68,93,100,[60-80[
86,64,95,[80-100]
27,100,100,[20-40[
65,,100,[60-80[
98,,100,[80-100]
74,72,100,[60-80[
48,64,100,[40-60[
45,80,100,[40-60[
91,,100,[80-100]
57,,100,[40-60[
82,100,100,[80-100]
96,50,100,[80-100]
5,66,99,]0-20[
93,,100,[80-100]
2,,100,]0-20[
98,86,100,[80-100]
85,63,100,[80-100]
13,,100,]0-20[
64,,100,[60-80[
58,64,95,[40-60[
88,42,100,[80-100]
20,93,99,[20-40[
27,76,98,[20-40[
49,100,100,[40-60[
86,,100,[80-100]
31,,100,[20-40[
21,70,100,[20-40[
45,66,100,[40-60[
85,80,100,[80-100]
82,,100,[80-100]
93,,100,[80-100]
30,100,100,[20-40[
42,100,100,[40-60[
28,66,99,[20-40[
17,,100,]0-20[
62,,100,[60-80[
39,94,98,[20-40[
42,77,98,[40-60[
72,0,100,[60-80[
24,,100,[20-40[
60,68,98,[60-80[
33,42,95,[20-40[
75,93,100,[60-80[
10,82,98,]0-20[
84,100,100,[80-100]
61,,100,[60-80[
88,0,100,[80-100]
66,73,100,[60-80[
10,64,100,]0-20[
84,80,100,[80-100]
5,,100,]0-20[
50,,100,[40-60[
61,100,100,[60-80[
20,100,100,[20-40[
68,57,100,[60-80[
6,,100,]0-20[
78,,100,[60-80[
54,92,98,[40-60[
90,70,93,[80-100]
11,0,100,]0-20[
96,,100,[80-100]
71,73,98,[60-80[
4,42,96,]0-20[
82,93,89,[80-100]
50,76,97,[40-60[
47,100,100,[40-60[
10,,100,]0-20[
36,,99,[20-40[
2,70,100,]0-20[
18,64,100,]0-20[
57,80,100,[40-60[
64,,100,[60-80[
65,,100,[60-80[
82,100,100,[80-100]
58,100,100,[40-60[
56,66,100,[40-60[
95,,100,[80-100]
44,,100,[40-60[
11,93,98,]0-20[
86,59,100,[80-100]
83,0,100,[80-100]
2,,100,]0-20[
90,56,100,[80-100]
78,41,96,[60-80[
65,93,100,[60-80[
95,59,100,[80-100]
5,100,100,]0-20[
43,,100,[40-60[
3,,99,]0-20[
3,70,100,]0-20[
34,66,100,[20-40[
16,80,100,]0-20[
53,,100,[40-60[
3,,100,]0-20[
37,100,100,[20-40[
93,50,100,[80-100]
42,66,100,[40-60[
33,,100,[20-40[
49,,100,[40-60[
62,91,98,[60-80[
74,69,100,[60-80[
88,0,100,[80-100]
68,,100,[60-80[
92,60,100,[80-100]
62,30,95,[60-80[
58,94,98,[40-60[
12,82,98,]0-20[
58,100,100,[40-60[
51,,100,[40-60[
93,0,100,[80-100]
65,73,100,[60-80[
7,64,100,]0-20[
82,78,100,[80-100]
36,,100,[20-40[
62,,100,[60-80[
34,100,100,[20-40[
34,100,100,[20-40[
72,66,100,[60-80[
45,,100,[40-60[
35,,100,[20-40[
81,85,96,[80-100]
19,78,98,]0-20[
87,0,100,[80-100]
22,,100,[20-40[
80,65,100,[80-100]
41,42,94,[40-60[
5,93,97,]0-20[
88,63,100,[80-100]
96,33,100,[80-100]
44,,100,[40-60[
66,0,100,[60-80[
32,70,100,[20-40[
57,66,100,[40-60[
72,80,100,[60-80[
30,,100,[20-40[
24,,100,[20-40[
8,100,100,]0-20[
26,100,100,[20-40[
15,66,99,]0-20[
62,,100,[60-80[
63,,100,[60-80[
94,88,100,[80-100]
23,80,98,[20-40[
68,0,100,[60-80[
73,,100,[60-80[
81,64,93,[80-100]
61,37,96,[60-80[
35,93,97,[20-40[
11,79,98,]0-20[
62,100,100,[60-80[
89,,100,[80-100]
38,,99,[20-40[
39,70,100,[20-40[
68,62,100,[60-80[
5,79,100,]0-20[
71,,100,[60-80[
33,,100,[20-40[
61,100,100,[60-80[
11,100,100,]0-20[
42,57,100,[40-60[
80,,100,[80-100]
85,,100,[80-100]
96,86,100,[80-100]
67,75,100,[60-80[
18,,100,]0-20[
76,,100,[60-80[
68,69,98,[60-80[
22,42,95,[20-40[
81,93,96,[80-100]
59,75,100,[40-60[
1,100,100,]0-20[
93,,100,[80-100]
50,,99,[40-60[
84,73,100,[80-100]
70,66,100,[60-80[
6,79,100,]0-20[
30,,100,[20-40[
1,,100,]0-20[
88,100,100,[80-100]
15,100,100,]0-20[
7,66,99,]0-20[
16,,100,]0-20[
12,,100,]0-20[
0,93,98,0
0,80,98,0
0,,100,0
0,,100,0
0,75,97,0
