 N->U%, TraceRecall_T,  TraceRecall_NT,percentage 
56,100,100,[40-60[
29,100,96,[20-40[
77,,76,[60-80[
51,,100,[40-60[
48,100,100,[40-60[
34,100,97,[20-40[
20,50,97,[20-40[
38,100,100,[20-40[
38,,100,[20-40[
73,100,86,[60-80[
4,100,100,]0-20[
39,100,100,[20-40[
29,,100,[20-40[
98,100,100,[80-100]
63,100,100,[60-80[
7,100,100,]0-20[
17,100,100,]0-20[
19,100,100,]0-20[
28,100,100,[20-40[
53,100,100,[40-60[
50,100,100,[40-60[
95,100,50,[80-100]
76,100,73,[60-80[
42,100,86,[40-60[
25,,100,[20-40[
21,100,97,[20-40[
87,100,100,[80-100]
45,100,100,[40-60[
3,100,100,]0-20[
17,100,100,]0-20[
26,100,100,[20-40[
64,100,84,[60-80[
28,83,96,[20-40[
14,100,100,]0-20[
69,100,100,[60-80[
77,100,83,[60-80[
34,,90,[20-40[
88,,100,[80-100]
21,100,100,[20-40[
64,100,93,[60-80[
56,100,86,[40-60[
24,100,100,[20-40[
79,,100,[60-80[
85,100,90,[80-100]
81,100,100,[80-100]
12,100,100,]0-20[
63,,100,[60-80[
60,100,100,[60-80[
89,100,100,[80-100]
16,100,100,]0-20[
48,100,95,[40-60[
83,100,100,[80-100]
78,100,100,[60-80[
46,100,100,[40-60[
81,100,100,[80-100]
89,100,83,[80-100]
26,33,100,[20-40[
80,100,78,[80-100]
93,,100,[80-100]
82,100,85,[80-100]
25,100,100,[20-40[
27,100,100,[20-40[
71,100,100,[60-80[
24,100,100,[20-40[
94,100,36,[80-100]
32,75,100,[20-40[
42,75,95,[40-60[
42,100,100,[40-60[
80,100,100,[80-100]
25,100,96,[20-40[
68,,89,[60-80[
30,,100,[20-40[
97,100,100,[80-100]
92,100,50,[80-100]
13,50,100,]0-20[
83,100,100,[80-100]
90,,100,[80-100]
59,100,88,[40-60[
99,100,,[80-100]
42,100,100,[40-60[
96,,100,[80-100]
73,100,100,[60-80[
98,100,100,[80-100]
1,100,100,]0-20[
71,100,100,[60-80[
63,100,100,[60-80[
94,100,100,[80-100]
15,100,100,]0-20[
22,100,100,[20-40[
46,80,96,[40-60[
16,,100,]0-20[
46,100,93,[40-60[
46,,100,[40-60[
46,100,93,[40-60[
58,100,100,[40-60[
52,100,100,[40-60[
16,100,100,]0-20[
14,100,100,]0-20[
53,100,92,[40-60[
70,100,92,[60-80[
60,100,100,[60-80[
91,100,100,[80-100]
27,100,100,[20-40[
20,100,97,[20-40[
12,,93,]0-20[
26,,100,[20-40[
34,100,100,[20-40[
44,100,96,[40-60[
19,50,100,]0-20[
17,100,100,]0-20[
86,,100,[80-100]
16,100,100,]0-20[
39,100,100,[20-40[
82,100,100,[80-100]
21,,100,[20-40[
33,100,100,[20-40[
55,100,100,[40-60[
25,100,100,[20-40[
30,100,100,[20-40[
85,100,100,[80-100]
70,100,100,[60-80[
14,100,100,]0-20[
1,100,100,]0-20[
59,100,100,[40-60[
5,,100,]0-20[
99,100,,[80-100]
41,,100,[40-60[
85,100,75,[80-100]
97,100,100,[80-100]
99,100,,[80-100]
94,100,100,[80-100]
21,100,100,[20-40[
99,100,,[80-100]
90,100,55,[80-100]
13,100,100,]0-20[
24,100,100,[20-40[
53,100,100,[40-60[
30,100,100,[20-40[
28,,92,[20-40[
5,,100,]0-20[
89,100,100,[80-100]
61,100,100,[60-80[
84,100,87,[80-100]
71,100,100,[60-80[
50,,100,[40-60[
65,100,87,[60-80[
45,100,100,[40-60[
2,100,100,]0-20[
97,,100,[80-100]
72,100,100,[60-80[
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,50,100,0
0,,100,0
0,100,97,0
0,,100,0
0,100,98,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,75,100,0
0,66,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,94,0
0,,100,0
0,100,100,0
0,100,100,0
0,50,100,0
0,100,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,100,0
0,100,100,0
28,96,97,[20-40[
18,97,94,]0-20[
78,,97,[60-80[
80,,100,[80-100]
69,96,76,[60-80[
8,37,97,]0-20[
23,87,98,[20-40[
68,91,81,[60-80[
17,100,100,]0-20[
9,,100,]0-20[
77,,100,[60-80[
57,100,95,[40-60[
28,100,96,[20-40[
44,100,95,[40-60[
79,,100,[60-80[
82,,100,[80-100]
39,100,100,[20-40[
47,100,99,[40-60[
53,100,98,[40-60[
