 N->T%, TraceRecall_T,  TraceRecall_NT,INTERVAL 
89,,3,[80-100]
8,0,37,]0-20[
54,0,17,[40-60[
87,0,2,[80-100]
30,0,26,[20-40[
10,,45,]0-20[
43,25,9,[40-60[
3,0,29,]0-20[
41,43,12,[40-60[
48,46,11,[40-60[
96,,,[80-100]
68,,10,[60-80[
33,15,26,[20-40[
92,37,,[80-100]
23,,32,[20-40[
45,0,16,[40-60[
34,0,18,[20-40[
24,0,21,[20-40[
66,0,5,[60-80[
38,0,21,[20-40[
96,75,,[80-100]
26,50,29,[20-40[
90,51,,[80-100]
37,30,16,[20-40[
95,,2,[80-100]
94,,5,[80-100]
80,25,0,[80-100]
40,12,13,[40-60[
28,,26,[20-40[
13,,42,]0-20[
17,0,32,]0-20[
42,0,26,[40-60[
16,,38,]0-20[
49,0,13,[40-60[
3,,32,]0-20[
32,0,19,[20-40[
10,43,25,]0-20[
46,23,1,[40-60[
38,,33,[20-40[
79,,2,[60-80[
77,20,5,[60-80[
0,0,40,0
0,,47,0
0,,50,0
0,,42,0
0,,48,0
0,,50,0
0,,48,0
0,,34,0
0,,41,0
0,29,30,0
0,23,41,0
0,,47,0
0,,47,0
0,5,41,0
