 T->U%, TraceRecall_T,  TraceRecall_NT,percentage 
0,57,25,0
0,50,25,0
0,33,25,0
0,50,24,0
0,100,24,0
0,58,25,0
0,50,25,0
0,10,23,0
0,,23,0
0,12,22,0
0,,25,0
0,42,23,0
0,39,26,0
0,42,24,0
0,80,24,0
0,66,24,0
0,28,23,0
0,15,19,0
0,6,17,0
0,50,25,0
0,40,25,0
0,30,22,0
0,0,24,0
0,,23,0
0,22,23,0
0,28,23,0
0,25,23,0
0,33,24,0
0,,24,0
0,31,19,0
0,33,25,0
0,41,25,0
0,,23,0
0,60,25,0
95,,34,[80-100]
25,35,32,[20-40[
100,,36,[80-100]
100,,39,[80-100]
19,35,31,]0-20[
20,15,33,[20-40[
79,16,32,[60-80[
48,30,34,[40-60[
33,,39,[20-40[
100,,38,[80-100]
100,,39,[80-100]
29,38,36,[20-40[
39,16,37,[20-40[
14,52,37,]0-20[
70,,40,[60-80[
17,8,38,]0-20[
22,22,39,[20-40[
80,7,34,[80-100]
42,22,33,[40-60[
100,,36,[80-100]
100,,39,[80-100]
15,27,31,]0-20[
10,10,33,]0-20[
30,18,31,[20-40[
88,4,35,[80-100]
67,,39,[60-80[
100,,38,[80-100]
100,,39,[80-100]
33,52,36,[20-40[
39,16,37,[20-40[
32,36,37,[20-40[
80,10,40,[80-100]
33,8,38,[20-40[
67,11,39,[60-80[
51,27,34,[40-60[
13,36,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
73,11,33,[60-80[
10,10,33,]0-20[
5,32,31,]0-20[
17,40,33,]0-20[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
29,47,36,[20-40[
19,19,37,]0-20[
91,9,38,[80-100]
90,,40,[80-100]
8,8,38,]0-20[
89,,39,[80-100]
42,35,33,[40-60[
17,38,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
53,13,33,[40-60[
85,,37,[80-100]
35,30,31,[20-40[
76,21,35,[60-80[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
5,57,36,]0-20[
84,3,38,[80-100]
27,43,37,[20-40[
60,,40,[60-80[
17,8,38,]0-20[
22,22,39,[20-40[
22,35,33,[20-40[
17,39,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
61,18,32,[60-80[
50,5,35,[40-60[
63,18,31,[60-80[
36,30,34,[20-40[
33,,39,[20-40[
100,,38,[80-100]
100,,39,[80-100]
90,4,36,[80-100]
3,29,37,]0-20[
34,40,37,[20-40[
10,20,39,]0-20[
42,8,38,[40-60[
22,44,39,[20-40[
35,23,33,[20-40[
88,9,34,[80-100]
100,,36,[80-100]
100,,39,[80-100]
32,23,33,[20-40[
35,15,33,[20-40[
28,27,31,[20-40[
2,45,33,]0-20[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
95,,37,[80-100]
52,12,38,[40-60[
61,25,37,[60-80[
10,20,39,]0-20[
75,,38,[60-80[
44,11,39,[40-60[
38,29,33,[20-40[
24,38,32,[20-40[
100,,36,[80-100]
100,,39,[80-100]
97,,36,[80-100]
95,,37,[80-100]
19,20,31,]0-20[
64,16,35,[60-80[
67,,39,[60-80[
100,,38,[80-100]
100,,39,[80-100]
90,4,36,[80-100]
16,25,37,]0-20[
30,31,37,[20-40[
50,,40,[40-60[
92,,38,[80-100]
44,22,39,[40-60[
69,13,33,[60-80[
75,14,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
36,30,31,[20-40[
45,5,35,[40-60[
33,27,31,[20-40[
95,7,35,[80-100]
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
81,4,36,[80-100]
42,9,37,[40-60[
16,47,37,]0-20[
30,,40,[20-40[
92,,39,[80-100]
22,33,39,[20-40[
5,46,33,]0-20[
72,9,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
86,8,36,[80-100]
75,10,36,[60-80[
37,27,31,[20-40[
45,26,35,[40-60[
67,33,38,[60-80[
100,,38,[80-100]
100,,39,[80-100]
33,52,36,[20-40[
97,,38,[80-100]
9,47,37,]0-20[
50,10,40,[40-60[
75,,39,[60-80[
89,,39,[80-100]
62,20,33,[60-80[
70,17,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
59,22,32,[40-60[
45,10,34,[40-60[
7,32,31,]0-20[
48,30,34,[40-60[
67,33,38,[60-80[
100,,38,[80-100]
100,,39,[80-100]
5,57,36,]0-20[
94,6,38,[80-100]
20,47,37,[20-40[
70,,40,[60-80[
8,8,38,]0-20[
22,33,39,[20-40[
0,46,33,0
0,43,32,0
0,,36,0
0,,39,0
0,37,31,0
0,15,33,0
0,32,31,0
0,45,33,0
0,33,38,0
0,,38,0
0,,39,0
0,57,36,0
0,29,37,0
0,52,37,0
0,,39,0
0,,37,0
0,20,39,0
0,8,38,0
0,44,39,0
0,,39,0
0,,40,0
63,0,41,[60-80[
60,,50,[60-80[
25,,46,[20-40[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
32,19,30,[20-40[
38,7,41,[20-40[
75,,48,[60-80[
88,,41,[80-100]
20,,50,[20-40[
25,,42,[20-40[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
68,2,30,[60-80[
54,7,41,[40-60[
80,,48,[80-100]
25,0,40,[20-40[
40,,50,[40-60[
75,,46,[60-80[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,44,[40-60[
61,7,30,[60-80[
8,23,41,]0-20[
65,5,48,[60-80[
25,,40,[20-40[
80,,50,[80-100]
50,,42,[40-60[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,41,[40-60[
63,,33,[60-80[
46,7,41,[40-60[
35,5,41,[20-40[
50,,41,[40-60[
60,,50,[60-80[
75,,42,[60-80[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
50,,34,[40-60[
50,,44,[40-60[
5,29,30,]0-20[
23,15,41,[20-40[
50,,48,[40-60[
38,,41,[20-40[
60,,50,[60-80[
25,,42,[20-40[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
50,,34,[40-60[
50,,41,[40-60[
37,12,30,[20-40[
77,15,41,[60-80[
80,,48,[80-100]
75,,41,[60-80[
60,,50,[60-80[
25,,42,[20-40[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,44,[40-60[
49,2,33,[40-60[
8,23,41,]0-20[
75,,48,[60-80[
88,,41,[80-100]
60,,50,[60-80[
75,,46,[60-80[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
25,,40,[20-40[
50,,44,[40-60[
90,2,30,[80-100]
23,15,41,[20-40[
95,,48,[80-100]
25,0,40,[20-40[
60,,50,[60-80[
75,,46,[60-80[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
25,,40,[20-40[
50,,41,[40-60[
17,29,30,]0-20[
77,,41,[60-80[
55,,48,[40-60[
38,,40,[20-40[
80,,50,[80-100]
25,,42,[20-40[
100,,48,[80-100]
25,,50,[20-40[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
80,14,33,[80-100]
92,,41,[80-100]
75,5,48,[60-80[
0,0,40,0
0,,47,0
0,,50,0
0,,42,0
0,,48,0
0,,50,0
0,,48,0
0,,34,0
0,,41,0
0,29,30,0
0,23,41,0
0,,47,0
0,,47,0
0,5,41,0
